year,mean_days,burned_ratio,mean_intensity,mean_aerosol,fips,name,n_hospital_beds_2017,n_hospitals_2017,n_active_mds_2017,n_medicare_bene_2017,n_medicare_eligible_2018,p_poverty,n_pop_2018,p65older,p5younger,p_nonwhite,p_white,ed_rate
2016,1,0.004664834,783.6305887,158.6563512,06025,Imperial,268,2,135,23417,32193,22.083903079363346,181827,12.96837103400485,16.23081280557893,89.31511821676649,10.684881783233513,66.3
2017,1.023198544,0.008116243,738.597648,157.2282587,06025,Imperial,268,2,135,23417,32193,22.083903079363346,181827,12.96837103400485,16.23081280557893,89.31511821676649,10.684881783233513,65.7
2018,1.117544021,0.006284085,1143.252731,165.6604174,06025,Imperial,268,2,135,23417,32193,22.083903079363346,181827,12.96837103400485,16.23081280557893,89.31511821676649,10.684881783233513,58.1
2019,1.037037037,0.003691545,649.3156387,152.3607953,06025,Imperial,268,2,135,23417,32193,22.083903079363346,181827,12.96837103400485,16.23081280557893,89.31511821676649,10.684881783233513,60.2
2020,1.517665831,0.002541558,488.0261731,162.2955895,06025,Imperial,268,2,135,23417,32193,22.083903079363346,181827,12.96837103400485,16.23081280557893,89.31511821676649,10.684881783233513,NA
2015,0,0,0,155.0386671,06027,Inyo,29,2,35,4109,4923,10.01886164429158,17987,23.40579307277478,11.641741257574916,36.932228831934175,63.067771168065825,53.5
2016,1.105263158,0.001230842,640.0614035,146.3979014,06027,Inyo,29,2,35,4109,4923,10.01886164429158,17987,23.40579307277478,11.641741257574916,36.932228831934175,63.067771168065825,53.7
2017,1,6.48e-5,136,146.6653218,06027,Inyo,29,2,35,4109,4923,10.01886164429158,17987,23.40579307277478,11.641741257574916,36.932228831934175,63.067771168065825,70.7
2018,1.053571429,0.001813872,2046.678571,155.1339391,06027,Inyo,29,2,35,4109,4923,10.01886164429158,17987,23.40579307277478,11.641741257574916,36.932228831934175,63.067771168065825,49.2
2019,1.401869159,0.003465791,1547.628816,144.6339426,06027,Inyo,29,2,35,4109,4923,10.01886164429158,17987,23.40579307277478,11.641741257574916,36.932228831934175,63.067771168065825,58.1
2020,1.126315789,0.006154209,10702.58684,180.3263413,06027,Inyo,29,2,35,4109,4923,10.01886164429158,17987,23.40579307277478,11.641741257574916,36.932228831934175,63.067771168065825,NA
2015,1.145016824,0.006719606,281.545033,162.9369261,06029,Kern,1644,11,1140,60993,121686,21.3994999546533,896764,10.96687645802017,16.052941465090036,65.52169801642349,34.4783019835765,62.3
2016,1.384231354,0.022612472,2565.859215,169.3863638,06029,Kern,1644,11,1140,60993,121686,21.3994999546533,896764,10.96687645802017,16.052941465090036,65.52169801642349,34.4783019835765,54.5
2017,1.158264759,0.014879718,575.0302833,164.613725,06029,Kern,1644,11,1140,60993,121686,21.3994999546533,896764,10.96687645802017,16.052941465090036,65.52169801642349,34.4783019835765,52.2
2018,1.16260681,0.009987854,470.198201,166.1227562,06029,Kern,1644,11,1140,60993,121686,21.3994999546533,896764,10.96687645802017,16.052941465090036,65.52169801642349,34.4783019835765,46.2
2019,1.117156734,0.007277848,274.2759036,153.7335642,06029,Kern,1644,11,1140,60993,121686,21.3994999546533,896764,10.96687645802017,16.052941465090036,65.52169801642349,34.4783019835765,46.1
2020,1.301571211,0.012251872,1530.344029,198.2387663,06029,Kern,1644,11,1140,60993,121686,21.3994999546533,896764,10.96687645802017,16.052941465090036,65.52169801642349,34.4783019835765,NA
2015,1.002035831,0.004593492,271.338966,175.6145161,06031,Kings,264,3,137,12541,17944,18.66276707017275,151366,10.250650740589036,15.364084404687976,67.05733123686957,32.94266876313043,78.6
2016,1.517859276,0.015656401,389.5168439,178.7995228,06031,Kings,264,3,137,12541,17944,18.66276707017275,151366,10.250650740589036,15.364084404687976,67.05733123686957,32.94266876313043,65
2017,1.345665741,0.031317477,829.3873038,177.1846822,06031,Kings,264,3,137,12541,17944,18.66276707017275,151366,10.250650740589036,15.364084404687976,67.05733123686957,32.94266876313043,67.9
2018,1.002165881,0.007340048,161.8686457,176.8088451,06031,Kings,264,3,137,12541,17944,18.66276707017275,151366,10.250650740589036,15.364084404687976,67.05733123686957,32.94266876313043,53.7
2019,1.166856399,0.005750281,195.1093674,156.9876267,06031,Kings,264,3,137,12541,17944,18.66276707017275,151366,10.250650740589036,15.364084404687976,67.05733123686957,32.94266876313043,47.9
2020,1,0.004514004,156.7064429,224.9987042,06031,Kings,264,3,137,12541,17944,18.66276707017275,151366,10.250650740589036,15.364084404687976,67.05733123686957,32.94266876313043,NA
2015,1.319457789,0.093771973,1962.56813,118.8057404,06033,Lake,50,2,63,15162,18619,22.4107337421785,64382,22.731508806809355,11.726880183902333,28.559224628001616,71.44077537199838,80.4
2016,1.254152824,0.023581072,1675.528239,110.8557146,06033,Lake,50,2,63,15162,18619,22.4107337421785,64382,22.731508806809355,11.726880183902333,28.559224628001616,71.44077537199838,79.4
2017,1.239130435,0.011486959,207.0217391,140.7164268,06033,Lake,50,2,63,15162,18619,22.4107337421785,64382,22.731508806809355,11.726880183902333,28.559224628001616,71.44077537199838,80.1
2018,1.79980692,0.415895483,3148.08575,196.606592,06033,Lake,50,2,63,15162,18619,22.4107337421785,64382,22.731508806809355,11.726880183902333,28.559224628001616,71.44077537199838,86.7
2019,1.318715577,0.009423615,334.1924729,117.0862134,06033,Lake,50,2,63,15162,18619,22.4107337421785,64382,22.731508806809355,11.726880183902333,28.559224628001616,71.44077537199838,89.8
2020,2.199236321,0.104900515,661.2972696,184.3857448,06033,Lake,50,2,63,15162,18619,22.4107337421785,64382,22.731508806809355,11.726880183902333,28.559224628001616,71.44077537199838,NA
