year,mean_days,burned_ratio,mean_intensity,mean_aerosol,upd_geoid
2013,1,0.002988543,1014.582302,162.5989314,06059
2014,1.167596439,0.011544464,7271.182315,156.3609601,06059
2015,1,9.77e-4,301.593268,155.612845,06059
2016,1,0.004246445,276.892546,162.2591161,06059
2017,1.037277977,0.018746566,1610.075433,164.2970363,06059
2018,1.900283039,0.037761703,6943.085042,165.1556653,06059
2019,1,2.85e-4,134.8798077,150.2859074,06059
2020,1.162969925,0.036448991,1605.798402,176.4937746,06059
2010,1.01984127,0.011139763,397.8645347,112.8322815,06061
2011,1.256797583,0.002582116,135.2920443,121.8009835,06061
2012,1.319099015,0.005541278,186.7397153,112.1106663,06061
2013,2.871125355,0.049273428,1330.618158,131.2574663,06061
2014,1.388526616,0.050510312,2550.700182,140.53706210000001,06061
2015,1.030717286,0.010525221,484.16841,136.9874168,06061
2016,1.056342302,0.008568915,614.3097815,126.7308567,06061
2017,1,0.00438587,263.2549407,140.4989495,06061
2018,1.208379764,0.011667627,1228.800312,159.3165344,06061
2019,1.161290323,0.002740735,304.8247944,113.6811248,06061
2020,1.328565494,0.014604253,567.3394874,200.0475659,06061
2010,1.41517421,0.004589722,296.5015196,119.1660363,06063
2011,1,0.001018278,154.9212329,123.0536921,06063
2012,2.848534048,0.062954868,975.6072481,135.2405761,06063
2013,1.074074074,0.003429962,205.5925926,126.473692,06063
2014,1.027027027,0.004700318,227.0810811,125.6770657,06063
2015,1.2,0.006351781,323.036667,137.6468345,06063
2016,1.291666667,0.003048855,478.1041667,126.7546619,06063
2017,1.701149425,0.011052099,511.8678161,144.6132698,06063
2018,1.231000785,0.011419257,405.9795829,156.757744,06063
2019,1.738403386,0.045074729,1956.899775,119.2047354,06063
2020,2.633621323,0.123508515,2646.580953,196.5021366,06063
2010,1.156613292,0.004061307,360.8566133,142.7900432,06065
2011,1.117647059,0.003861761,252.9082353,152.4772246,06065
2012,1.163796262,0.003403516,308.5616657,149.8395499,06065
2013,1.303955834,0.016006842,4441.047378,153.9862024,06065
2014,1.072418572,0.001542566,210.1809309,148.6701922,06065
2015,1.254186603,0.002681051,433.158808,153.3338402,06065
2016,1.042713568,0.002127309,163.871608,154.3598696,06065
2017,1.102478232,0.005320054,469.3966092,146.6130344,06065
2018,1.498558903,0.011745097,3916.025936,152.2929673,06065
